motion_id,parent_motion_id,motion_label,motionPaths,torsoAngles,torsoOrientations,resistanceOrigin,grips,gripWidths,elbowRelationship,executionStyles,footPositions,stanceWidths,stanceTypes,loadPlacement,supportStructures,loadingAids,rangeOfMotion
ANTI_EXTENSION,,Anti-Extension,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANTI_LATERAL_FLEXION,,Anti-Lateral Flexion,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ANTI_ROTATION,,Anti-Rotation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
EXTENSION_BACK,,Back Extension,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CALF_RAISE,,Calf Raise,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CALF_RAISE_BENT,CALF_RAISE,Seated Calf Raise,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CALF_RAISE_STRAIGHT,CALF_RAISE,Standing Calf Raise,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CHEST_FLY,,Chest Fly,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CHEST_FLY_DECLINE,CHEST_FLY,Decline Chest Fly,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CHEST_FLY_FLAT,CHEST_FLY,Flat Chest Fly,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
